epoch,acc,loss,val_acc,val_loss
0,0.5480349,0.7144553885189207,0.705803,0.5932801266511282
1,0.5731441,0.692486477991379,0.71929824,0.5839105024933815
2,0.59770745,0.6701611733332472,0.7354926,0.5687014994521936
3,0.63209605,0.6425056959864354,0.757085,0.554185097416242
4,0.6724891,0.6197481485954018,0.7692308,0.5364905757208666
5,0.66484714,0.6053860814810841,0.78272605,0.5233272997041544
6,0.7025109,0.5877075741905312,0.79352224,0.5127059705555439
7,0.72270745,0.560959694687456,0.7989204,0.5015429966151714
8,0.75,0.5448768430401665,0.8083671,0.49112872406840324
9,0.7680131,0.5243403677336513,0.82051283,0.4803713870545228
10,0.7882096,0.5000638204370523,0.8353576,0.4598829646905263
11,0.7980349,0.49448609820619943,0.84075576,0.450335210810105
12,0.8165939,0.47800349772757317,0.84615386,0.441041295727094
